dataset,task,metric,n,delta,low,high,wins,losses,ties,p
cronquestion,tis,tis_exact_match,972,-0.07921810699588477,-0.09979423868312758,-0.059670781893004114,12,89,871,1.0827214347884686e-15
cronquestion,answer,answer_f1,972,0.29818652426677117,0.2633459076360311,0.33292670977856165,357,56,559,9.84689106559041e-55
cronquestion,answer,answer_exact_match,972,0.31790123456790126,0.2829218106995885,0.35288065843621397,357,48,567,1.7792164642035657e-59
multitq,tis,tis_exact_match,1000,-0.089,-0.117,-0.06,64,153,783,1.3733788834334923e-09
multitq,answer,answer_f1,1000,0.07222857142857143,0.038766666666666665,0.1050952380952381,215,132,653,9.787213360773198e-06
multitq,answer,answer_exact_match,1000,0.079,0.045,0.112,184,105,711,3.921697906670685e-06
