dataset,method,subset,n,answer_em,answer_f1,answerable,unsupported,wrong_slot
CRONQUESTION,full,all,972,0.9012345679012346,0.9012345679012346,0.9711934156378601,0.029835390946502057,0.0
CRONQUESTION,full,constraint_sensitive,276,0.9347826086956522,0.9347826086956522,0.9746376811594203,0.028985507246376812,0.0
CRONQUESTION,full,trivial,696,0.8879310344827587,0.8879310344827587,0.9698275862068966,0.03017241379310345,0.0
CRONQUESTION,no_memory,all,972,0.5833333333333334,0.6030480436344634,0.9423868312757202,0.05761316872427984,0.00102880658436214
CRONQUESTION,no_memory,constraint_sensitive,276,0.6376811594202898,0.6400966183574879,0.8405797101449275,0.15942028985507245,0.0
CRONQUESTION,no_memory,trivial,696,0.5617816091954023,0.588356367451195,0.9827586206896551,0.017241379310344827,0.0014367816091954023
CRONQUESTION,vanilla_rag,all,972,0.581275720164609,0.6611841983236022,0.9382716049382716,0.06481481481481481,0.0
CRONQUESTION,vanilla_rag,constraint_sensitive,276,0.40217391304347827,0.6041647291327599,0.9202898550724637,0.08333333333333333,0.0
CRONQUESTION,vanilla_rag,trivial,696,0.6522988505747126,0.6837953671406605,0.9454022988505747,0.05747126436781609,0.0
CRONQUESTION,relation_only,all,972,0.8652263374485597,0.8652263374485597,0.9465020576131687,0.05452674897119342,0.0
CRONQUESTION,relation_only,constraint_sensitive,276,0.8260869565217391,0.8260869565217391,0.9239130434782609,0.07971014492753623,0.0
CRONQUESTION,relation_only,trivial,696,0.8807471264367817,0.8807471264367817,0.9554597701149425,0.04454022988505747,0.0
MULTITQ,full,all,1000,0.675,0.7395,0.868,0.137,0.0
MULTITQ,full,constraint_sensitive,675,0.6029629629629629,0.6907654320987654,0.8281481481481482,0.17777777777777778,0.0
MULTITQ,full,trivial,325,0.8246153846153846,0.8407179487179488,0.9507692307692308,0.052307692307692305,0.0
MULTITQ,no_memory,all,1000,0.596,0.6672714285714286,0.874,0.13,0.0
MULTITQ,no_memory,constraint_sensitive,675,0.5155555555555555,0.6131428571428571,0.8296296296296296,0.17629629629629628,0.0
MULTITQ,no_memory,trivial,325,0.7630769230769231,0.7796923076923077,0.9661538461538461,0.033846153846153845,0.0
MULTITQ,vanilla_rag,all,1000,0.595,0.6643976190476191,0.954,0.048,0.0
MULTITQ,vanilla_rag,constraint_sensitive,675,0.56,0.6541693121693122,0.9437037037037037,0.057777777777777775,0.0
MULTITQ,vanilla_rag,trivial,325,0.6676923076923077,0.6856410256410257,0.9753846153846154,0.027692307692307693,0.0
MULTITQ,relation_only,all,1000,0.6,0.6614047619047619,0.83,0.181,0.0
MULTITQ,relation_only,constraint_sensitive,675,0.5111111111111111,0.5943280423280424,0.7718518518518519,0.24296296296296296,0.0
MULTITQ,relation_only,trivial,325,0.7846153846153846,0.8007179487179488,0.9507692307692308,0.052307692307692305,0.0
