scale,num_samples,BLEU-4,ROUGE-L,CIDEr,avg_latency_seconds,p95_latency_seconds,throughput_samples_per_min,avg_total_tokens_est,cache_build_seconds,cache_size_bytes,cache_size_mb
20,100,0.33802723972561644,0.5658123134499318,3.1233718723023105,6.180702,8.880891,240.293068,701.78,15.12594491802156,16183717,15.433995246887207
40,100,0.3204424306516972,0.5519468415907715,2.984624293807417,7.433327,11.37657,196.790443,703.45,30.581740552559495,23194705,22.12019443511963
80,100,0.3388204707884168,0.5640959179850128,3.175253763696729,6.253058,10.771568,261.992977,702.86,61.102260302752256,32835912,31.31476593017578
100,100,0.3241850070968704,0.5418805713544849,2.881741543060421,7.389694,10.652426,194.689457,708.61,74.57187555823475,36759139,35.056246757507324
