method,dataset,split,num_runs,BLEU-4_mean,BLEU-4_std,ROUGE-L_mean,ROUGE-L_std,CIDEr_mean,CIDEr_std,avg_latency_seconds_mean,avg_latency_seconds_std,p95_latency_seconds_mean,p95_latency_seconds_std,avg_total_tokens_est_mean,avg_total_tokens_est_std
Chrono-full,MULTITQ,demo100,3,0.3109818932357588,0.005003387045899484,0.5321706606857973,0.006872622893989247,2.738484611557571,0.07288740871654377,1.8959173333333332,0.05984130262898131,3.2226246666666665,0.10798760870272728,708.47,0.10583005244261628
Chrono-no_memory,MULTITQ,demo100,3,0.14769921293471952,0.005473479781663342,0.38875429453539295,0.00461607356217988,1.3684060596644334,0.0503336457371102,2.74765,1.2608791133379917,3.5892286666666666,0.3949100350324529,358.85,0.1153256259467189
