dataset,method,n,operator,slot,reference,tis_em,answer_em,answer_f1,answerable,unsupported,wrong_slot,leakage,variant,row
CRONQUESTION,full,298,0.348993288590604,0.8624161073825504,0.7684563758389261,0.026845637583892617,0.912751677852349,0.912751677852349,0.9832214765100671,0.020134228187919462,0.0,0.0,no_temporal_rule,full_matched
CRONQUESTION,no_temporal_rule,298,0.3624161073825503,0.87248322147651,0.7583892617449665,0.03691275167785235,0.8993288590604027,0.8993288590604027,0.9798657718120806,0.020134228187919462,0.0,0.0,no_temporal_rule,variant
CRONQUESTION,full,298,0.348993288590604,0.8624161073825504,0.7684563758389261,0.026845637583892617,0.912751677852349,0.912751677852349,0.9832214765100671,0.020134228187919462,0.0,0.0,no_leakage_check,full_matched
CRONQUESTION,no_leakage_check,298,0.3422818791946309,0.8523489932885906,0.761744966442953,0.026845637583892617,0.8926174496644296,0.8926174496644296,0.9731543624161074,0.026845637583892617,0.0,0.010067114093959731,no_leakage_check,variant
CRONQUESTION,full,298,0.348993288590604,0.8624161073825504,0.7684563758389261,0.026845637583892617,0.912751677852349,0.912751677852349,0.9832214765100671,0.020134228187919462,0.0,0.0,no_draft_filtering,full_matched
CRONQUESTION,no_draft_filtering,298,0.33557046979865773,0.8590604026845637,0.7651006711409396,0.030201342281879196,0.9026845637583892,0.9026845637583892,0.9731543624161074,0.026845637583892617,0.0,0.010067114093959731,no_draft_filtering,variant
MULTITQ,full,300,0.45666666666666667,0.8066666666666666,0.79,0.13,0.56,0.69,0.8566666666666667,0.15333333333333332,0.0,0.04666666666666667,no_temporal_rule,full_matched
MULTITQ,no_temporal_rule,300,0.44,0.82,0.7766666666666666,0.11333333333333333,0.55,0.6906666666666667,0.8566666666666667,0.15666666666666668,0.0,0.02666666666666667,no_temporal_rule,variant
MULTITQ,full,300,0.45666666666666667,0.8066666666666666,0.79,0.13,0.56,0.69,0.8566666666666667,0.15333333333333332,0.0,0.04666666666666667,no_leakage_check,full_matched
MULTITQ,no_leakage_check,300,0.4666666666666667,0.82,0.79,0.12,0.56,0.6952380952380953,0.86,0.14666666666666667,0.0,0.02666666666666667,no_leakage_check,variant
MULTITQ,full,300,0.45666666666666667,0.8066666666666666,0.79,0.13,0.56,0.69,0.8566666666666667,0.15333333333333332,0.0,0.04666666666666667,no_draft_filtering,full_matched
MULTITQ,no_draft_filtering,300,0.46,0.8133333333333334,0.7833333333333333,0.13666666666666666,0.56,0.6896613756613756,0.8433333333333334,0.16333333333333333,0.0,0.03666666666666667,no_draft_filtering,variant
