dataset,method,n,operator,slot,reference,tis_em,answer_em,answer_f1,answerable,unsupported,wrong_slot,leakage,variant,row
CRONQUESTION,full,490,0.25510204081632654,0.8489795918367347,0.7510204081632653,0.018367346938775512,0.9142857142857143,0.9142857142857143,0.9775510204081632,0.024489795918367346,0.0,0.0020408163265306124,no_typed_placeholders,full_matched
CRONQUESTION,no_typed_placeholders,490,0.25918367346938775,0.8591836734693877,0.746938775510204,0.02040816326530612,0.9163265306122449,0.9163265306122449,0.9734693877551021,0.026530612244897958,0.0,0.0,no_typed_placeholders,variant
MULTITQ,full,500,0.468,0.822,0.81,0.124,0.616,0.7146666666666667,0.864,0.142,0.0,0.042,no_typed_placeholders,full_matched
MULTITQ,no_typed_placeholders,500,0.47,0.838,0.8,0.126,0.62,0.728615873015873,0.87,0.136,0.0,0.034,no_typed_placeholders,variant
