dataset,method,n,bleu4,rouge_l,cider
CRONQUESTION,full,972,0.30155610234367464,0.512308145615823,2.8147989499183077
CRONQUESTION,no_memory,972,0.19239391122695432,0.35955559469925774,1.7073050087787596
CRONQUESTION,vanilla_rag,972,0.1776871831598099,0.358911326490688,1.6827106361019064
CRONQUESTION,relation_only,972,0.28576311798767234,0.4895110004676275,2.687836563860197
MULTITQ,full,1000,0.3078335853957118,0.5311210250557019,2.7639284397086885
MULTITQ,no_memory,1000,0.14318989676239033,0.3893925568290055,1.3816264521427868
MULTITQ,vanilla_rag,1000,0.20441763343990682,0.4372106924798752,1.9952354473111353
MULTITQ,relation_only,1000,0.2475159895371896,0.46864101686166454,2.201415809495887
