dataset,method,n,operator,slot,reference,tis_em,answer_em,answer_f1,answerable,unsupported,wrong_slot,leakage,bleu4,rouge_l,cider
CRONQUESTION,full,972,0.2222222222222222,0.8672839506172839,0.8734567901234568,0.015432098765432098,0.9012345679012346,0.9012345679012346,0.9711934156378601,0.029835390946502057,0.0,0.00205761316872428,0.30155610234367464,0.512308145615823,2.8147989499183077
CRONQUESTION,no_memory,972,0.31275720164609055,0.8065843621399177,0.8858024691358025,0.09465020576131687,0.5833333333333334,0.6030480436344634,0.9423868312757202,0.05761316872427984,0.00102880658436214,0.2623456790123457,0.19239391122695432,0.35955559469925774,1.7073050087787596
CRONQUESTION,vanilla_rag,972,0.42901234567901236,0.7942386831275721,0.8569958847736625,0.04938271604938271,0.581275720164609,0.6611841983236022,0.9382716049382716,0.06481481481481481,0.0,0.047325102880658436,0.1776871831598099,0.358911326490688,1.6827106361019064
CRONQUESTION,relation_only,972,0.21707818930041153,0.8765432098765432,0.8683127572016461,0.01131687242798354,0.8652263374485597,0.8652263374485597,0.9465020576131687,0.05452674897119342,0.0,0.01440329218106996,0.28576311798767234,0.4895110004676275,2.687836563860197
MULTITQ,full,1000,0.423,0.826,0.867,0.111,0.675,0.7395,0.868,0.137,0.0,0.036,0.3078335853957118,0.5311210250557019,2.7639284397086885
MULTITQ,no_memory,1000,0.657,0.846,0.756,0.2,0.596,0.6672714285714286,0.874,0.13,0.0,0.035,0.14318989676239033,0.3893925568290055,1.3816264521427868
MULTITQ,vanilla_rag,1000,0.135,0.837,0.661,0.052,0.595,0.6643976190476191,0.954,0.048,0.0,0.067,0.20441763343990682,0.4372106924798752,1.9952354473111353
MULTITQ,relation_only,1000,0.439,0.866,0.898,0.138,0.6,0.6614047619047619,0.83,0.181,0.0,0.04,0.2475159895371896,0.46864101686166454,2.201415809495887
